Title;Medium;Date;Collection;Dimensions;Image;Description;artists_id;id
Seven AM;Oil on canvas;1948;Whitney Museum of American Art;"76.7 cm × 101.9 cm
(30 3/16 in. × 40 1/8 in.)";https://whitneymedia.org/assets/artwork/732/50_8_cropped.jpeg;;2726;122
High Noon;Oil on canvas;1949;Dayton Art Institute;;https://en.wikipedia.org/wiki/File:High-Noon-Edward-Hopper-1949.jpg;;2726;123
Conference at Night;Oil on canvas;1949;Wichita Art Museum;;http://wichitaartmuseum.org/acm/rec_images/M100.52_l.jpg;;2726;124
Stairway;Oil on canvas;1949;Whitney Museum of American Art;"40.6 cm × 30.2 cm
( 16 in. × 11 7/8 in.)";https://whitneymedia.org/assets/artwork/6096/70_1265_cropped.jpeg;;2726;125
Cape Cod Morning;Oil on canvas;1950;Smithsonian American Art Museum;"86.7 cm × 102.3 cm
(34 1/8 in. × 40 1/4 in.)";https://americanart.si.edu/artwork/cape-cod-morning-10760;;2726;126
Portrait of Orleans;Oil on canvas;1950;De Young Museum, San Francisco;;http://www.museumsyndicate.com/images/1/9659.jpg;;2726;127
Rooms by the Sea;Oil on canvas;1951;Yale University Art Gallery;"74.3 cm × 101.6 cm
(29 1/4 in. × 40 in.)";http://www.ibiblio.org/wm/paint/auth/hopper/interior/hopper.rooms-sea.jpg;;2726;128
First Row Orchestra;Oil on canvas;1951;Hirshhorn Museum and Sculpture Garden;"79 cm × 101.9 cm
(31 1/8 in. × 40 1/8 in.)";http://www.wikipaintings.org/en/edward-hopper/first-row-orchestra;;2726;129
Morning Sun;Oil on canvas;1952;Columbus Museum of Art;;http://www.ibiblio.org/wm/paint/auth/hopper/interior/hopper.morning-sun.jpg;;2726;130
Hotel by a Railroad;Oil on canvas;1952;Hirshhorn Museum and Sculpture Garden;;https://en.wikipedia.org/wiki/File:Hotel-by-a-Railroad-Edward-Hopper-1952.jpg;;2726;131
Sea Watchers;;1952;Private collection;;https://www.bridgemanimages.com/fr/asset/219981/hopper-edward-1882-1967/sea-watchers-1952-oil-on-canvas;;2726;132
Office in a Small City;Oil on canvas;1953;Metropolitan Museum of Art;"71 cm × 102 cm
(28 in. × 40 in.)";http://www.metmuseum.org/toah/works-of-art/53.183/;"The Metropolitan Museum acquired this painting shortly after it was completed in late October 1953. Begun in Cape Cod over the summer and finished in New York City, it was the only oil painting Hopper produced that year. Reprising one of his signature subjects—a solitary figure, physically and emotionally detached from his surroundings and other people—it was described by the artist’s wife as ""the man in concrete wall.""";2726;133
City Sunlight;Oil on canvas;1954;Hirshhorn Museum;;http://www.museumsyndicate.com/images/1/9414.jpg;;2726;134
South Carolina Morning;Oil on canvas;1955;Whitney Museum of American Art;"77.2 cm × 102.2 cm
(30 3/8 in. × 40 1/4 in.)";https://whitneymedia.org/assets/artwork/789/67_13_cropped.jpeg;;2726;135
Hotel Window;Oil on canvas;1956;The Forbes Magazine Collection;;http://1.bp.blogspot.com/_optCt9q1zJQ/TDn_7rPn9PI/AAAAAAAAAEI/9Qc_Mn6EsjY/s640/EdwardHopperHotelWindow.jpg;;2726;136
Four Lane Road;Oil on canvas;1956;Private collection;;http://www.cineclubdecaen.com/peinture/peintres/hopper/56routeaquatrevoies.htm;;2726;137
Sunlight on Brownstones;Oil on canvas;1956;Brooklyn Museum;;http://www.museumsyndicate.com/images/1/9793.jpg;;2726;138
Western Motel;Oil on canvas;1957;Yale University Art Gallery;"77.8 cm × 128.3 cm
(30 1/4 in. × 50 1/8 in.)";http://www.cineclubdecaen.com/peinture/peintres/hopper/57motelalouest.htm;;2726;139
Sunlight in a Cafeteria;Oil on canvas;1958;Yale University Art Gallery;"102.1 cm × 152.7 cm
(40 3/16 in. × 60 1/8 in.)";http://mapage.noos.fr/momina/hopper/sunlight.jpg;;2726;140
Excursion into Philosophy;Oil on canvas;1959;Private collection;;http://arts.guardian.co.uk/pictures/image/0,8543,-10504931919,00.html;;2726;141
Second Story Sunlight;Oil on canvas;1960;Whitney Museum of American Art;"102.1 cm × 127.3 cm
(40 3/16 in. × 50 1/8 in.)";https://en.wikipedia.org/wiki/File:Second-Story-Sunlight-Edward-Hopper-1960.jpg;;2726;142
People in the Sun;Oil on canvas;1960;"Smithsonian American Art Museum
Washington, D.C.";"102.6 cm × 153.4 cm
(40 3/8 in. × 60 3/8 in.)";https://americanart.si.edu/artwork/people-sun-10762;;2726;143
A Woman in the Sun;Oil on canvas;1961;Whitney Museum of American Art;"101.9 cm × 155.6 cm
(40 1/8 in. × 61 1/4 in.)";https://whitneymedia.org/assets/artwork/1337/84_31_cropped.jpeg;;2726;144
New York Office;Oil on canvas;1962;Montgomery Museum of Fine Arts;;http://www.cineclubdecaen.com/peinture/peintres/hopper/62bureauanewyork.htm;;2726;145
Intermission;Oil on canvas;1963;San Francisco Museum of Modern Art;"101.6 cm × 152.4 cm
(40 in. × 60 in.)";http://www.canvasreplicas.com/images/Intermission%20Edward%20Hopper.jpg;;2726;146
Sun in an Empty Room;Oil on canvas;1963;Private collection;;http://www.ibiblio.org/wm/paint/auth/hopper/interior/hopper.sun-empty-room.jpg;;2726;147
Chair Car;Oil on canvas;1965;Private collection;;http://www.ibiblio.org/wm/paint/auth/hopper/interior/hopper.chair-car.jpg;;2726;148
Two Comedians;Oil on canvas;1965;Private collection;73.7 cm × 101.6 cm;http://www.cineclubdecaen.com/peinture/peintres/hopper/65deuxcomediens.htm;;2726;149
